"date","avg_price","city","name","daily_av"
"2021-05-24",84.2816279314334,"athens",NA,23.04
"2021-05-25",84.2388263750131,"athens",NA,23.53
"2021-05-26",84.266168892628,"athens",NA,22.98
"2021-05-27",84.4084551477548,"athens",NA,21.71
"2021-05-28",85.1259859080871,"athens",NA,22.13
"2021-05-29",85.1185192975076,"athens",NA,21.19
"2021-05-30",84.4252813124408,"athens",NA,21.02
"2021-05-31",84.3331580607845,"athens",NA,20.1
"2021-06-01",89.9173414659796,"athens",NA,19.31
"2021-06-02",89.8062887790514,"athens",NA,18
"2021-06-03",89.9731833000316,"athens",NA,19.77
"2021-06-04",90.6959722368283,"athens",NA,20.15
"2021-06-05",90.6858765380166,"athens",NA,20.56
"2021-06-06",90.082868861079,"athens",NA,22.42
"2021-06-07",89.9242822589126,"athens",NA,24.35
"2021-06-08",89.9917972447155,"athens",NA,23.1
"2021-06-09",89.9688715953307,"athens",NA,22.69
"2021-06-10",89.9987380376486,"athens",NA,23.75
"2021-06-11",90.7307813650226,"athens",NA,21.79
"2021-06-12",90.7485540014723,"athens",NA,20.81
"2021-06-13",90.054054054054,"athens",NA,22.23
"2021-06-14",90.0098853717531,"athens",NA,20.4
"2021-06-15",90.0487958775897,"athens",NA,19.57
"2021-06-16",90.2104322221054,"athens",NA,22.71
"2021-06-17",90.2987695867073,"athens",NA,23.5
"2021-06-18",91.2127458197497,"athens",NA,23.75
"2021-06-19",91.2597539173415,"athens",NA,25.25
"2021-06-20",90.5448522452413,"athens","Father's Day",25.06
"2021-06-20",90.5448522452413,"athens","Orthodox Pentecost",25.06
"2021-06-21",90.9948469870649,"athens","June Solstice",25.38
"2021-06-21",90.9948469870649,"athens","Orthodox Pentecost Monday",25.38
"2021-06-22",90.7652750026291,"athens",NA,26.94
"2021-06-23",90.793353664949,"athens",NA,28.33
"2021-06-24",90.8039751814071,"athens",NA,29.06
"2021-06-25",91.5803975181407,"athens",NA,30.38
"2021-06-26",91.523188558208,"athens",NA,30.33
"2021-06-27",90.8916815648333,"athens",NA,29.22
"2021-06-28",90.722894100326,"athens",NA,28.56
"2021-06-29",90.8180670943317,"athens",NA,29.1
"2021-06-30",90.792617520244,"athens",NA,29.79
"2021-07-01",97.6931328215375,"athens",NA,32.15
"2021-07-02",97.443579766537,"athens",NA,30
"2021-07-03",97.6939741297718,"athens",NA,26.77
"2021-07-04",97.1105268692817,"athens",NA,27.04
"2021-07-05",96.7761068461458,"athens",NA,27.17
"2021-07-06",96.7997686402356,"athens",NA,27.58
"2021-07-07",96.749184982648,"athens",NA,28.92
"2021-07-08",96.7784204437901,"athens",NA,29.1
"2021-07-09",97.4735513723841,"athens",NA,28.15
"2021-07-10",97.4966873488274,"athens",NA,28.31
